::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient
0.01171024,0.322073906,0.01171024,0.322073906,0.01171024,0.322073906,0.01171024,0.322073906,0.01171024,0.322073906,0.01171024,0.322073906
0.011982571,0.574894464,0.011982571,0.574894464,0.011982571,0.574894464,0.011982571,0.574894464,0.011982571,0.574894464,0.011982571,0.574894464
0.012254902,0.400084839,0.012254902,0.400084839,0.012254902,0.400084839,0.012254902,0.400084839,0.012254902,0.400084839,0.012254902,0.400084839
0.012527233,0.400084839,0.012527233,0.400084839,0.012527233,0.400084839,0.012527233,0.400084839,0.012527233,0.400084839,0.012527233,0.400084839
0.012799564,0.512496665,0.012799564,0.512496665,0.012799564,0.512496665,0.012799564,0.512496665,0.012799564,0.512496665,0.012799564,0.512496665
0.013071895,0.44130707,0.013071895,0.44130707,0.013071895,0.44130707,0.013071895,0.44130707,0.013071895,0.44130707,0.013071895,0.44130707
0.013344227,0.508959421,0.013344227,0.508959421,0.013344227,0.508959421,0.013344227,0.508959421,0.013344227,0.508959421,0.013344227,0.508959421
0.013616558,0.44130707,0.013616558,0.44130707,0.013616558,0.44130707,0.013616558,0.44130707,0.013616558,0.44130707,0.013616558,0.44130707
0.013888889,0.320247128,0.013888889,0.320247128,0.013888889,0.320247128,0.013888889,0.320247128,0.013888889,0.320247128,0.013888889,0.320247128
0.01416122,0.320247128,0.01416122,0.320247128,0.01416122,0.320247128,0.01416122,0.320247128,0.01416122,0.320247128,0.01416122,0.320247128
0.014433551,0.50348593,0.014433551,0.50348593,0.014433551,0.50348593,0.014433551,0.50348593,0.014433551,0.50348593,0.014433551,0.50348593
0.014705882,0.566554232,0.014705882,0.566554232,0.014705882,0.566554232,0.014705882,0.566554232,0.014705882,0.566554232,0.014705882,0.566554232
0.014978214,0.375645701,0.014978214,0.375645701,0.014978214,0.375645701,0.014978214,0.375645701,0.014978214,0.375645701,0.014978214,0.375645701
0.015250545,0.699867952,0.015250545,0.699867952,0.015250545,0.699867952,0.015250545,0.699867952,0.015250545,0.699867952,0.015250545,0.699867952
0.015522876,0.508959421,0.015522876,0.508959421,0.015522876,0.508959421,0.015522876,0.508959421,0.015522876,0.508959421,0.015522876,0.508959421
0.015795207,0.44130707,0.015795207,0.44130707,0.015795207,0.44130707,0.015795207,0.44130707,0.015795207,0.44130707,0.015795207,0.44130707
0.016067538,0.52451782,0.016067538,0.52451782,0.016067538,0.52451782,0.016067538,0.52451782,0.016067538,0.52451782,0.016067538,0.52451782
